start	end	text
0	3280	fancy process and the global transparency reporting.
3280	8320	We do it at entity, at legal entity level.
8320	14320	To why during the project, we wanted to have one combined report
14320	16080	for two legal entities.
16080	18000	What was the rationale behind would you
18000	23800	know that Felix, do you know Rashid?
23800	26200	So for India, we have two company codes.
26200	29400	Ion01 and Ion10.
29400	33320	So now we have been tracking all the payment information,
33320	35640	even when India was an internal market.
35640	38000	We have been using both the company codes
38000	43240	and tracking the details in GTC for both of these company
43240	43960	codes.
43960	49360	We were not sure that these two are two separate legal entities,
49360	50240	so to say.
50240	53920	So this was observed very recently, Matthew,
53920	56560	when we were going to prepare the idea report,
56560	57280	that is very important.
57280	59880	I understand that the details.
59880	61760	So Rashid, if I understand what you're saying
61760	63720	is that there was not a conscious decision
63720	66800	from the global transparency team to merge two legal entities
66800	70600	to one, it's just that we didn't know, right?
70600	72000	OK.
72000	76840	Now, the thing is that then the system has
76840	81160	been set up only for, has been linked to only one legal entity,
81160	84280	not the two of them.
84280	85280	Is that correct, Rashid?
85280	87320	We are uploading data for both.
87320	89960	There is no segregation, but we are uploading data
89960	90800	for both of these.
90800	95680	But for ITR, you would need then two ITR entries
95680	96880	for the two legal entities.
96880	97200	Yes.
97200	99200	Right now, we have a combined report for both
99200	102000	where there is no segregation basis the legal entity.
102000	103600	OK.
103600	107040	And do we know what the local codes say in India?
107040	110200	Do they say one reporting per legal entity?
110200	111920	Is it legal requirements?
111920	114320	I mean, at least a regular requirement.
117320	119320	It is with you.
119320	120520	It needs to.
120520	121840	Yeah, it is.
121840	125680	Because the other entity, which is the Novartis India
125680	129040	Limited, is the listed entity.
129040	131680	It's listed on the stock exchange.
131680	135840	And that needs to be disclosed separately.
135840	138240	OK.
138240	141480	And I think then the answer is pretty simple, right?
141480	145120	So what is the deadline for the reporting?
145120	147480	I understand it's in a week time.
147480	149360	It's end of May.
149360	151920	This weekend, I would say, target.
151920	152720	OK.
152720	158800	So there is no chance that with IQVA, we can set up the ITR
158800	160240	for the missing legal entities.
160240	163240	Is it a statistic?
163240	164240	I don't think so, Matthew.
164240	167520	But what we can do is one option is we can generate
167520	171320	at least one report with the maximum major values
171320	176440	and invalidate some of the spends for other legal entities.
176440	177360	OK.
177360	179040	Yes, definitely.
179040	185920	It's one possibility that we do Novartis LSCAR LTT
185920	187680	with ITR.
187680	191240	The only risk that we have is the duplicating,
191240	194200	the duplicate reporting, because there might be
194200	199240	how will you split the TEOVs per legal entity?
199240	200880	You see what I mean?
200880	204440	Satish is that there is a risk that we report some of the TEOVs
204440	207640	that are linked to Novartis India LTT,
207640	211120	meaning that when they will do the manual reporting
211120	215760	in Excel or whatever, there might be some duplicating TEOVs there.
215760	218400	No, we have that segregation at SAP level,
218400	219960	because we are using that data.
219960	222400	We have that segregation at the end.
222440	225360	So this is my understanding, Matthew.
225360	227200	We can generate one report.
227200	231520	So we can look at the maximum line items and maximum volume.
231520	236440	And if the volume with Novartis India limited is less,
236440	240760	then we can invalidate them and still generate a ITR report.
240760	242760	OK, so we can manually do that.
242760	245280	So for that expense, it's just one less question
245280	246200	before we take a decision.
246200	248560	So for that expense is clear, and I understand
248560	252360	there is no risk of duplication for indirect spend colleagues.
252800	254720	How do we make the split between the TEOVs?
254720	257960	For us, the source of data is only SAP Matthew.
257960	259840	There is no other indirect also.
259840	262680	We are taking it from SAP only.
262680	263520	Then we are good.
266000	270760	So I need this.
270760	274640	I would effectively be in favor to use the global transparency
274640	277640	solution for the reporting of one of the TEOVs,
277640	281840	but I really want the local compliance team
281840	285160	to be comfortable with that.
285160	285920	Perfect.
285920	289480	So Matthew, really the challenge is here on the second point.
289480	290760	Product is pretty quickly.
290760	293640	We already discussed earlier with Rashi.
293640	296080	And there was a work around that they proposed right now,
296080	298080	which we could have worked.
298080	300240	But challenge really is the second point
300240	304040	where we would have to capture the posting data as well,
304040	306640	which is not there currently in the SAP I bear report.
306640	310800	So that means we will have a missing data coming in the ITR report.
310800	311600	OK.
312440	315280	Just on this front, I don't.
315280	318720	So this is very different.
318720	321320	Usually transparency reporting is based on payment.
321320	326360	So we are disclosing what Novartis effectively
326360	330960	give to HTTP's, HEO's, and patient organizations.
330960	333200	What I'm trying to understand is, is it
333200	337160	are we sure that this is the regulatory requirement
337160	342240	to disclose at an event level and not at payment level,
342240	343680	because this is very new to me.
343680	346720	We don't have such situation in any of the 50
346720	349160	pressed countries that we are managing.
349160	351400	So Matthew, you're absolutely correct.
351400	354200	So Novartis, so not Novartis, India
354200	357280	has got a pretty unique regulatory requirement,
357280	361680	which requires the pharmaceutical organizations
361680	364600	to report at the event level, which
364600	370200	means once an event happens and the provisions are made,
370200	376760	so the postings that happens through the financial reporting
376760	379440	needs to be captured.
379440	381800	And this clarification has been
381800	385960	grow, has been received through the industry association,
385960	390800	and also through the Department of Pharmaceuticals
390800	392920	for India.
392960	395480	So this is a directive that we've,
395480	400480	so what happens is for March 31st is the annual year end.
400480	404520	So events that happen the last week or in the month,
404520	408040	depending on the contact of the vendors,
408040	411640	the payment will not get processed in time,
411640	413520	but it will get provisioned.
413520	418040	And if it gets provisioned, it can still be posted.
418040	418880	Yeah.
418880	421080	Payment can happen at a later stage.
421080	423880	So that needs to be, and because the event
423880	427240	has happened within the fiscal year,
427240	430160	it needs to be captured in the report.
430160	431720	Nice images.
431720	432960	OK.
432960	439200	But so, and we have a clear view on what
439200	445680	has been accrued as of March 31st, that the net needs,
445680	448600	sorry, that they need to be reported.
448600	450920	Do we have a clear visibility on the accords?
450920	451760	Absolutely.
451760	454560	There was absolutely, yes.
454560	456960	So Matthew, we know that there are payments that are posted,
456960	461000	which have to be considered for the purpose of reporting.
461000	463080	But if you are asking clear visibility,
463080	467200	I think we don't have that split between what is the exact payment
467200	471400	that needs to be, that is in the posting case state,
471400	474000	because that keeps on changing a week after week.
477120	478840	Can you repeat this last sentence?
478840	481600	I'll teach you the issue of the issue of the issue of the accords.
481600	485680	So let's assume you have an event of 100.
485680	489440	60 has been already invoiced as of March 1st,
489440	492680	so it's in an L has been paid, sorry, as in paid.
492680	494480	So it's already in ACP.
494480	496400	You have 40.
496400	498760	You know that the service has been executed,
498760	501600	so you have 40 that has been accrued.
501600	505560	But by March 31st, this has not been paid.
