start	end	text
0	4520	So we are taking it from SAP only.
4520	5320	Then we are good.
7840	13480	So I need the, I mean, this I would effectively
13480	17080	be in favor to use the global transparency solution
17080	19480	for the reporting of one of the legal entities,
19480	23680	but I really want the local compliance team
23680	27000	to be comfortable with that.
27720	31320	So Matthew, really, the challenge is here on the second point.
31320	35480	The legal entity we already discussed earlier with Rashi.
35480	37920	And there was a work around that they proposed right now,
37920	39920	which we could have worked.
39920	42080	But challenge really is the second point
42080	45880	where we would have to capture the posting data as well,
45880	48480	which is not there currently in the SAP IPA report.
48480	50960	So that means we will have a missing data coming
50960	52680	in the IPA report.
52680	54280	OK.
54280	57120	Just on this front, I don't.
57120	60560	So this is very different.
60560	63160	Usually transparency reporting is based on payment.
63160	68200	So we are disclosing what Novartis effectively
68200	72840	give to HCPs, HCOs, and patient organizations.
72840	75640	What I'm trying to understand is, are we sure
75640	79000	that this is the regulatory requirement
79000	84040	to disclose at an event level and not at payment level?
84040	85520	Because this is very new to me.
85520	88600	We don't have such situation in any of the 50
88600	91000	plus countries that we are managing.
91000	93240	So Matthew, you're absolutely correct.
93240	96040	So Novartis, not Novartis, India
96040	99120	has got a pre-unique regulatory requirement
99120	103520	which requires the pharmaceutical organizations
103520	106440	to report at the event level, which
106440	112040	means once an event happens and the provisions are made.
112040	118600	So the postings that happens through the financial reporting
118600	121520	needs to be captured.
121520	123600	And this clarification has been
123600	127800	grow, has been received through the industry association
127800	132640	and also through the Department of Pharmaceuticals
132640	134720	for India.
134720	137280	So this is a directive that we've...
137280	141400	So what happens is, March 31st is the annual year
142240	146280	so events that happen the last week or in the month,
146280	149840	depending on the contract of the vendors,
149840	153440	the payment will not get processed in time,
153440	155280	but it will get provisioned.
155280	159680	And if it gets provisioned, it can still be posted.
159680	160680	Yeah.
160680	162840	The payment can happen at a later stage.
162840	164600	So that needs to be...
164600	169000	And because the event has happened within the fiscal year,
169000	171920	it needs to be captured in the report.
171920	173480	Nice images.
173480	174720	OK.
174720	178440	But so...
178440	182920	And we have a clear view on what has been accrued
182920	190320	as of March 31st that needs to be reported
190320	192680	to we have a clear visibility on the accords.
192680	193480	Really?
193480	194280	Absolutely.
194280	196080	Absolutely, yes.
196080	197080	Yeah.
197080	199640	I know that there are payment that are posted,
199640	202960	which have to be considered for the purpose of reporting.
202960	205160	But if you are asking clear visibility,
205160	209120	as in we don't have that split between what is the exact payment
209120	211160	that needs to be...
211160	213320	That is in the posting case state.
213320	216000	Because that keeps on changing a week after week.
219040	220720	Can you repeat this last sentence?
220720	222520	I'll teach you the issue of the...
222520	223560	So if you have the accords...
223560	227440	Let's assume you have an event of 100.
227440	231200	60 has been already invoiced as of March 1st,
231200	232200	so it's in...
232200	234480	And it has been paid, sorry, as in paid.
234480	236280	So it's already in ACP.
236280	238200	You have 40.
238200	240560	You know that the service has been executed,
240560	243400	so you have 40 that has been accrued.
243400	247360	But by March 31st, this has not been paid.
247360	249720	But those 40, if I understand well the rule
249720	253480	that we have in India, those 40 needs to be reflected.
253760	256480	But with the accords that have been done,
256480	259240	we should be able to link the accrued amount
259240	260840	with the event, no?
263160	264840	So, Matthew, we don't have this event
264840	266160	while identification.
267200	269040	There is a payment that does not happen yet.
272320	274520	So we don't have events by event,
274520	279400	the split between paid and a bank, okay.
279400	282400	But then, colleagues, I mean, you know, I will never...
282400	284760	I mean, please don't get us wrong.
284760	286680	We will never force you to use a system
286680	288240	that you are not comfortable to use.
288240	290320	Honestly, considering the situation
290320	293200	and considering that we need to report by the end of the week,
293200	294040	this is really...
294040	297200	I mean, we need to go with what we use,
297200	299880	what we feel is the best solution.
299880	303240	The thing is, if you don't have it for the global transparency solution,
303240	306160	you will not have it neither for in Excel, right?
306160	309960	Or how do you plan to solve this?
310960	313040	You see what I mean?
313040	313920	You see what I mean?
313920	318960	If you don't have an ACP and you don't have the accrual per events,
318960	321240	even if you are not using the global transparency solution
321240	324480	and you do the reporting manually, how will you do that?
325960	330480	Okay, so the payment which has been happened in SAP
330480	333440	that we can find out from SAP IBI.
333440	335920	Now, the issue right now, what we are having,
335920	340280	that those events which happen in February, March,
340280	344640	their invoice are being posted in SAP,
344640	346560	but that does not been paid
346560	348200	because payment would happen
348200	352720	basis the credit arms of the vendors.
352720	355560	But received not invoiced.
355560	356440	Yes.
356440	361440	So if we can see, we may see our status in SAP
361440	364600	as a post date or created or index,
364600	366320	but not the paid.
366320	369920	And that paid goes to SAP IBI.
369920	374640	So those payments basis the SAP individual data,
374640	378640	we have taken an account and factored for reporting,
378640	383640	but those data is completely missed in this SAP IBI report.
383640	386520	Probably in future, one, two months,
386520	390760	probably two months down the line, we may get the data.
390760	394240	So that is the reason, you know,
394240	398920	the manual data captured all which are paid plus provision
398920	402760	plus, you know, posted.
402760	404760	Okay.
404760	406800	Matthew, just to simplify,
406800	409280	in be sure we've always captured the quotation
409280	411920	as well as invoices, basis there,
411920	414960	the tracking was already prepared by the third party,
414960	416440	which captures against which event,
416440	418880	which are the payments pending to be posted
418920	422320	and which are already in the SAP.
422320	424000	So we have that available,
424000	425840	but it is just that we don't have a report
425840	427440	which clearly by for case,
427440	430280	what is paid and posted in SAP right now.
430280	434440	So it was a manual effort that has enabled us to reconcile
435560	437080	all of this, Matthew.
437080	438080	Yeah.
438080	439360	Yeah, Matthew.
439360	440520	Yeah.
440520	442040	And there were two other three,
442040	444960	I mean, incidentals, but important.
444960	446600	One, this is the first time, of course,
446600	450440	India is coming under the Transparency Reporting Act
450440	454680	and which means and also given whatever indications
454680	457480	that we have, the multinational organizations
457480	459680	are going to be under a lot more scrutiny
459680	461600	than the local organizations are.
462760	465920	They've already made an example of one of the multinational
465920	470200	organizations a few months back on one of the breaches
471120	475120	and all indications are that all multinational organizations
475120	478000	are going to be under heavy scrutiny
478000	480440	for at least the cycle, right?
480440	483680	So so hence there has been a lot of reliance on
483680	486600	what is going to be a uniform standard approach
486600	489760	to reporting across the members,
489760	493160	the member organizations of the association
494120	498840	and we are having a uniform approach towards
498840	502080	reporting some of these, right?
502080	505000	So so we are being a lot more conservative
505000	509200	and not aggressive and we are ensuring that
509200	511520	even the ones which have been accrued
512480	516000	and one spare services have been taken
516000	518040	but payments will be made at a later stage
518040	519240	that still will report it.
520560	523280	There is a provision where we have
525280	530120	used disclaimers and we've also put in those comments
530120	532640	but not exhaustive limited comments
532680	535920	just to ensure that some of the clarity could be
535920	537960	provided towards some of these items.
537960	542520	So hence the concern on how we really show up
542520	543960	in the first year of reporting.
545000	546520	But I've been asked then, are you telling me
546520	551760	that you already have done the data collection, right?
551760	554040	For what you believe should be disclosed
554040	555200	by the end of this week.
556760	560080	You have for the truly guarantees.
560080	560920	Yeah.
563640	565080	I mean,
565080	568040	so what is the question today?
568040	570560	Is it, are you asking for an exemption
570560	572760	to use the global solution and the global end
572760	574160	to follow the global process?
576320	577800	No, that's the internal Matthew.
577800	579560	Just to bring you over.
579560	580800	Thank you.
580800	581640	Thank you.
